County,Establishment Type,Entity Name,DBA Name,Square Footage,Latitude,Longitude
Albany,Grocery/Manufacturer,CENTRAL FOOD MART INC            ,CENTRAL FOOD MART      ,0,42.657551,-73.764242
Albany,Deli,CAPITAL CITY DELI & GROCERY INC  ,CAPITAL CITY DELI & GRO,3000,42.674065,-73.738555
Albany,Discount Store,FAMILY DOLLAR OF NY INC          ,FAMILY DOLLAR STORE #23,5000,42.678399,-73.734185
Albany,Grocery/Manufacturer,FINNIGANS INC                    ,R & S FINNIGANS        ,1800,42.665232,-73.773667
Albany,Discount Store,FAMILY DOLLAR STORES OF NY INC   ,FAMILY DOLLAR #31571   ,4800,42.637266,-73.759808
Albany,Deli,MADISON GROCERY & DELI INC       ,MADISON GROCERY & DELI ,1200,42.646052,-73.755891
Albany,Grocery/Manufacturer,SWEET BACON THERAPY LLC          ,SWEET BACON THERAPY    ,0,42.693853,-73.773554
Albany,Grocery/Manufacturer,MADISON MART INC                 ,MADISON MART           ,2000,42.64629,-73.756657
Albany,Sushi,SUSHI MARU EXPRESS INC           ,SUSHI MARU EXPRESS (FRE,0,42.736131,-73.762267
Albany,Discount Store,PARK DOLLAR PLUS INC             ,PARK DOLLAR PLUS       ,2000,42.658167,-73.784623
Albany,Grocery/Manufacturer,ABOALLRGAL CORPORATION           ,ONTARIO SUPER MARKET   ,1500,42.670252,-73.771969
Albany,Gas Station,SPEEDWAY LLC                     ,12110,300,42.739618,-73.761949
Albany,Grocery/Manufacturer,RED-KAP SALES INC                ,1667 GENERAL STORE     ,2000,42.686553,-73.854665
Albany,Grocery/Manufacturer,FREEMAN DOUGLAS                  ,FREEMAN FISH MARKET    ,1500,42.76352,-73.699799
Albany,Grocery/Manufacturer,ABDULMOLLA AL ASHWAL             ,LARK NEWS & GROCERY    ,1800,42.654182,-73.765911
Albany,Sushi,SUSHIC EAST LLC                  ,SUSHIC EAST (SHOPRITE #,400,42.641191,-73.863049
Albany,Grocery/Manufacturer,STARBUCKS CORPORATION            ,TEAVANA #28442         ,800,42.687038,-73.850605
Albany,Grocery/Manufacturer,DI CESARE JONATHAN               ,RYDER HOUSE KITCHEN    ,0,42.658634,-73.769051
Albany,Specialty Shop,309 CENTRAL LLC                  ,ALADDIN HALAL MARKET   ,3000,42.664705,-73.772432
Albany,Grocery/Manufacturer,TRIPLE M MUSHROOM FARM INC       ,THE MUSHROOM MEN       ,800,42.713337,-73.929974
Albany,Grocery/Manufacturer,MIAMI MARKET LLC                 ,MIAMI MARKET           ,2250,42.663602,-73.775142
Albany,Grocery/Manufacturer,ROYAL KM INC                     ,ROYAL KM               ,2000,42.640037,-73.784652
